bulk_id,slab_millers,slab_shift,slab_comp,top,slab_identifier,Ametal,Bmetal,Cmetal,surface_energy,Cost,DFT_ads_E,symbol,AandB,reaction_type,activity_pathway,optimal_energy,activity_width,source_file,processed_date,ascicat_version,bimetallic_filtered
mp-19856_H_1_111,111,,,,,Pt,Sn,,1.000737249316762,15368.911025,-0.1204486,Sn2Pt2,Pt-Sn,HER,H_adsorption,-0.27,0.15,,2025-10-28,ASCICat-v1.0,True
mp-30846_H_0_111,111,,,,,Pt,Sn,,0.7748709980066928,12301.25723,-0.16003284,Sn6Pt4,Pt-Sn,HER,H_adsorption,-0.27,0.15,,2025-10-28,ASCICat-v1.0,True
mp-30846_H_1_111,111,,,,,Pt,Sn,,0.7986411243259854,12301.25723,-0.13424118,Sn6Pt4,Pt-Sn,HER,H_adsorption,-0.27,0.15,,2025-10-28,ASCICat-v1.0,True
mp-30846_H_2_111,111,,,,,Pt,Sn,,0.7331177379393158,12301.25723,-0.14286467,Sn6Pt4,Pt-Sn,HER,H_adsorption,-0.27,0.15,,2025-10-28,ASCICat-v1.0,True
mp-30846_H_3_111,111,,,,,Pt,Sn,,0.7715941811355762,12301.25723,-0.1758301,Sn6Pt4,Pt-Sn,HER,H_adsorption,-0.27,0.15,,2025-10-28,ASCICat-v1.0,True
mp-30846_H_4_111,111,,,,,Pt,Sn,,0.7443710956662091,12301.25723,-0.13754732,Sn6Pt4,Pt-Sn,HER,H_adsorption,-0.27,0.15,,2025-10-28,ASCICat-v1.0,True
mp-810_H_0_111,111,,,,,Ni,Sb,,0.94748501374226,22.50325,-0.23478475,Ni2Sb2,Ni-Sb,HER,H_adsorption,-0.27,0.15,,2025-10-28,ASCICat-v1.0,True
mp-810_H_1_111,111,,,,,Ni,Sb,,0.974519201520344,22.50325,-0.25123753,Ni2Sb2,Ni-Sb,HER,H_adsorption,-0.27,0.15,,2025-10-28,ASCICat-v1.0,True
mp-1078699_H_4_111,111,,,,,Nb,Pt,,2.032090716665301,23050.487500000003,-0.39771754,Nb2Pt6,Nb-Pt,HER,H_adsorption,-0.27,0.15,,2025-10-28,ASCICat-v1.0,True
mp-20900_H_0_111,111,,,,,Cu,Sb,,0.6577320801144291,15.0918025,-0.21583818,Cu6Sb2,Cu-Sb,HER,H_adsorption,-0.27,0.15,,2025-10-28,ASCICat-v1.0,True
mp-20900_H_1_111,111,,,,,Cu,Sb,,0.6693477376300563,15.0918025,-0.11551656,Cu6Sb2,Cu-Sb,HER,H_adsorption,-0.27,0.15,,2025-10-28,ASCICat-v1.0,True
mp-20900_H_2_111,111,,,,,Cu,Sb,,0.7215577921659687,15.0918025,-0.32133275,Cu6Sb2,Cu-Sb,HER,H_adsorption,-0.27,0.15,,2025-10-28,ASCICat-v1.0,True
